step,time,elastic,fracture,kinetic,external,total
171,6.220000000e-03,9.480555374e-04,1.797038188e+00,0.000000000e+00,0.000000000e+00,1.797986244e+00
172,6.230000000e-03,9.459489328e-04,1.797046984e+00,0.000000000e+00,0.000000000e+00,1.797992933e+00
173,6.240000000e-03,9.438544150e-04,1.797055738e+00,0.000000000e+00,0.000000000e+00,1.797999593e+00
174,6.250000000e-03,9.417719022e-04,1.797064452e+00,0.000000000e+00,0.000000000e+00,1.798006224e+00
175,6.260000000e-03,9.397013093e-04,1.797073125e+00,0.000000000e+00,0.000000000e+00,1.798012826e+00
176,6.270000000e-03,9.376425849e-04,1.797081757e+00,0.000000000e+00,0.000000000e+00,1.798019400e+00
177,6.280000000e-03,9.355956607e-04,1.797090349e+00,0.000000000e+00,0.000000000e+00,1.798025945e+00
178,6.290000000e-03,9.335604693e-04,1.797098902e+00,0.000000000e+00,0.000000000e+00,1.798032462e+00
179,6.300000000e-03,9.315369424e-04,1.797107414e+00,0.000000000e+00,0.000000000e+00,1.798038951e+00
180,6.310000000e-03,9.295251609e-04,1.797115888e+00,0.000000000e+00,0.000000000e+00,1.798045413e+00
181,6.320000000e-03,9.270709141e-04,1.797128960e+00,0.000000000e+00,0.000000000e+00,1.798056031e+00
182,6.330000000e-03,9.256987677e-04,1.797136738e+00,0.000000000e+00,0.000000000e+00,1.798062437e+00
183,6.340000000e-03,9.237931972e-04,1.797144867e+00,0.000000000e+00,0.000000000e+00,1.798068660e+00
184,6.350000000e-03,9.218586056e-04,1.797153055e+00,0.000000000e+00,0.000000000e+00,1.798074913e+00
185,6.360000000e-03,9.199290944e-04,1.797161245e+00,0.000000000e+00,0.000000000e+00,1.798081174e+00
186,6.370000000e-03,9.180036167e-04,1.797169417e+00,0.000000000e+00,0.000000000e+00,1.798087421e+00
187,6.380000000e-03,9.160813990e-04,1.797177565e+00,0.000000000e+00,0.000000000e+00,1.798093647e+00
188,6.390000000e-03,9.141669128e-04,1.797185685e+00,0.000000000e+00,0.000000000e+00,1.798099852e+00
189,6.400000000e-03,9.122624924e-04,1.797193778e+00,0.000000000e+00,0.000000000e+00,1.798106040e+00
190,6.410000000e-03,9.103660663e-04,1.797201844e+00,0.000000000e+00,0.000000000e+00,1.798112210e+00
191,6.420000000e-03,9.084805241e-04,1.797209874e+00,0.000000000e+00,0.000000000e+00,1.798118354e+00
192,6.430000000e-03,9.066053106e-04,1.797217869e+00,0.000000000e+00,0.000000000e+00,1.798124474e+00
193,6.440000000e-03,9.047399714e-04,1.797225832e+00,0.000000000e+00,0.000000000e+00,1.798130572e+00
194,6.450000000e-03,9.028848540e-04,1.797233762e+00,0.000000000e+00,0.000000000e+00,1.798136647e+00
195,6.460000000e-03,9.010403732e-04,1.797241659e+00,0.000000000e+00,0.000000000e+00,1.798142699e+00
196,6.470000000e-03,8.992064602e-04,1.797249521e+00,0.000000000e+00,0.000000000e+00,1.798148727e+00
197,6.480000000e-03,8.973830534e-04,1.797257347e+00,0.000000000e+00,0.000000000e+00,1.798154730e+00
198,6.490000000e-03,8.955700321e-04,1.797265140e+00,0.000000000e+00,0.000000000e+00,1.798160710e+00
199,6.500000000e-03,8.937673755e-04,1.797272899e+00,0.000000000e+00,0.000000000e+00,1.798166666e+00
200,6.510000000e-03,8.919743206e-04,1.797280625e+00,0.000000000e+00,0.000000000e+00,1.798172599e+00
201,6.520000000e-03,8.901914718e-04,1.797288317e+00,0.000000000e+00,0.000000000e+00,1.798178509e+00
202,6.530000000e-03,8.884188449e-04,1.797295975e+00,0.000000000e+00,0.000000000e+00,1.798184394e+00
203,6.540000000e-03,8.866563973e-04,1.797303599e+00,0.000000000e+00,0.000000000e+00,1.798190256e+00
204,6.550000000e-03,8.849040491e-04,1.797311190e+00,0.000000000e+00,0.000000000e+00,1.798196094e+00
205,6.560000000e-03,8.831617595e-04,1.797318747e+00,0.000000000e+00,0.000000000e+00,1.798201909e+00
206,6.570000000e-03,8.814294642e-04,1.797326271e+00,0.000000000e+00,0.000000000e+00,1.798207701e+00
207,6.580000000e-03,8.797071029e-04,1.797333762e+00,0.000000000e+00,0.000000000e+00,1.798213469e+00
208,6.590000000e-03,8.779946347e-04,1.797341220e+00,0.000000000e+00,0.000000000e+00,1.798219214e+00
209,6.600000000e-03,8.762920055e-04,1.797348645e+00,0.000000000e+00,0.000000000e+00,1.798224937e+00
210,6.610000000e-03,8.745991624e-04,1.797356038e+00,0.000000000e+00,0.000000000e+00,1.798230637e+00
211,6.620000000e-03,8.729160519e-04,1.797363398e+00,0.000000000e+00,0.000000000e+00,1.798236314e+00
212,6.630000000e-03,8.712426111e-04,1.797370725e+00,0.000000000e+00,0.000000000e+00,1.798241968e+00
213,6.640000000e-03,8.695794404e-04,1.797378021e+00,0.000000000e+00,0.000000000e+00,1.798247600e+00
214,6.650000000e-03,8.679280478e-04,1.797385282e+00,0.000000000e+00,0.000000000e+00,1.798253211e+00
215,6.660000000e-03,8.662859504e-04,1.797392513e+00,0.000000000e+00,0.000000000e+00,1.798258799e+00
216,6.670000000e-03,8.646526887e-04,1.797399712e+00,0.000000000e+00,0.000000000e+00,1.798264364e+00
217,6.680000000e-03,8.630291312e-04,1.797406879e+00,0.000000000e+00,0.000000000e+00,1.798269908e+00
218,6.690000000e-03,8.614153299e-04,1.797414015e+00,0.000000000e+00,0.000000000e+00,1.798275430e+00
219,6.700000000e-03,8.598108228e-04,1.797421119e+00,0.000000000e+00,0.000000000e+00,1.798280930e+00
220,6.710000000e-03,8.582156205e-04,1.797428193e+00,0.000000000e+00,0.000000000e+00,1.798286409e+00
221,6.720000000e-03,8.566301879e-04,1.797435236e+00,0.000000000e+00,0.000000000e+00,1.798291866e+00
222,6.730000000e-03,8.550539007e-04,1.797442248e+00,0.000000000e+00,0.000000000e+00,1.798297302e+00
223,6.740000000e-03,8.534866998e-04,1.797449230e+00,0.000000000e+00,0.000000000e+00,1.798302717e+00
224,6.750000000e-03,8.519285341e-04,1.797456182e+00,0.000000000e+00,0.000000000e+00,1.798308111e+00
225,6.760000000e-03,8.503793565e-04,1.797463104e+00,0.000000000e+00,0.000000000e+00,1.798313483e+00
226,6.770000000e-03,8.488391211e-04,1.797469996e+00,0.000000000e+00,0.000000000e+00,1.798318835e+00
227,6.780000000e-03,8.473077797e-04,1.797476859e+00,0.000000000e+00,0.000000000e+00,1.798324166e+00
228,6.790000000e-03,8.457852854e-04,1.797483692e+00,0.000000000e+00,0.000000000e+00,1.798329477e+00
229,6.800000000e-03,8.442717476e-04,1.797490496e+00,0.000000000e+00,0.000000000e+00,1.798334768e+00
230,6.810000000e-03,8.427674142e-04,1.797497270e+00,0.000000000e+00,0.000000000e+00,1.798340038e+00
231,6.820000000e-03,8.412717921e-04,1.797504016e+00,0.000000000e+00,0.000000000e+00,1.798345288e+00
232,6.830000000e-03,8.397848274e-04,1.797510732e+00,0.000000000e+00,0.000000000e+00,1.798350517e+00
233,6.840000000e-03,8.383064750e-04,1.797517420e+00,0.000000000e+00,0.000000000e+00,1.798355727e+00
234,6.850000000e-03,8.368366897e-04,1.797524080e+00,0.000000000e+00,0.000000000e+00,1.798360917e+00
235,6.860000000e-03,8.353754272e-04,1.797530711e+00,0.000000000e+00,0.000000000e+00,1.798366087e+00
236,6.870000000e-03,8.339226432e-04,1.797537315e+00,0.000000000e+00,0.000000000e+00,1.798371237e+00
237,6.880000000e-03,8.324782933e-04,1.797543890e+00,0.000000000e+00,0.000000000e+00,1.798376368e+00
238,6.890000000e-03,8.310423333e-04,1.797550437e+00,0.000000000e+00,0.000000000e+00,1.798381480e+00
239,6.900000000e-03,8.296147204e-04,1.797556957e+00,0.000000000e+00,0.000000000e+00,1.798386572e+00
