step,max_H_nodal,max_psi_plus,max_damage,delta_H,delta_damage,reaction_force,applied_disp
194,1819915.3335,4347567.5270,1.000000,0.0000,0.000000,-0.279964,0.00645000
195,1825558.3788,4361115.1734,1.000000,0.0000,0.000000,-0.278960,0.00646000
196,1831209.8194,4374683.2875,1.000000,0.0000,0.000000,-0.277962,0.00647000
197,1836869.6548,4388271.8690,1.000000,0.0000,0.000000,-0.276970,0.00648000
198,1842537.8982,4401880.9319,1.000000,0.0000,0.000000,-0.275985,0.00649000
199,1848214.5393,4415510.4687,1.000000,0.0000,0.000000,-0.275005,0.00650000
200,1853899.6141,4429160.5424,1.000000,0.0000,0.000000,-0.274032,0.00651000
201,1859593.0959,4442831.0905,1.000000,0.0000,0.000000,-0.273065,0.00652000
202,1865294.9719,4456522.1045,1.000000,0.0000,0.000000,-0.272104,0.00653000
203,1871005.2414,4470233.5916,1.000000,0.0000,0.000000,-0.271149,0.00654000
204,1876723.9051,4483965.5362,1.000000,0.0000,0.000000,-0.270200,0.00655000
205,1882450.9606,4497717.9451,1.000000,0.0000,0.000000,-0.269257,0.00656000
206,1888186.4085,4511490.8182,1.000000,0.0000,0.000000,-0.268319,0.00657000
207,1893930.2487,4525284.1553,1.000000,0.0000,0.000000,-0.267388,0.00658000
208,1899682.4810,4539097.9559,1.000000,0.0000,0.000000,-0.266463,0.00659000
209,1905443.1049,4552932.2199,1.000000,0.0000,0.000000,-0.265543,0.00660000
210,1911212.1203,4566786.9468,1.000000,0.0000,0.000000,-0.264629,0.00661000
211,1916989.5269,4580662.1362,1.000000,0.0000,0.000000,-0.263721,0.00662000
212,1922775.3244,4594557.7881,1.000000,0.0000,0.000000,-0.262818,0.00663000
213,1928569.4882,4608473.8628,1.000000,0.0000,0.000000,-0.261922,0.00664000
214,1934371.9558,4622410.2641,1.000000,0.0000,0.000000,-0.261031,0.00665000
215,1940182.7985,4636367.1144,1.000000,0.0000,0.000000,-0.260146,0.00666000
216,1946002.0079,4650344.3927,1.000000,0.0000,0.000000,-0.259266,0.00667000
217,1951829.6086,4664342.1379,1.000000,0.0000,0.000000,-0.258392,0.00668000
