step,displacement,reaction_kN,max_d,max_H,stagger_iter,elapsed_ms
287,0.00738000,0.000209,1.00000000,2380583.6142,13,357.7
288,0.00739000,0.000208,1.00000000,2387005.9832,13,356.8
289,0.00740000,0.000208,1.00000000,2393436.7231,11,312.7
290,0.00741000,0.000207,1.00000000,2399875.8257,13,350.6
291,0.00742000,0.000206,1.00000000,2406323.2939,11,318.9
292,0.00743000,0.000206,1.00000000,2412779.1379,13,356.5
293,0.00744000,0.000205,1.00000000,2419243.3478,11,315.3
294,0.00745000,0.000205,1.00000000,2425715.9331,13,353.3
295,0.00746000,0.000204,1.00000000,2432196.8838,11,328.6
296,0.00747000,0.000204,1.00000000,2438686.2094,13,356.8
297,0.00748000,0.000203,1.00000000,2445183.9000,11,316.2
298,0.00749000,0.000203,1.00000000,2451689.9652,13,352.0
299,0.00750000,0.000202,1.00000000,2458204.3847,11,315.0
300,0.00751000,0.000202,1.00000000,2464727.1117,11,316.5
301,0.00752000,0.000201,1.00000000,2471258.1886,13,360.9
302,0.00753000,0.000200,1.00000000,2477797.6232,11,319.2
303,0.00754000,0.000200,1.00000000,2484345.4301,11,319.2
304,0.00755000,0.000199,1.00000000,2490901.6027,11,317.3
305,0.00756000,0.000199,1.00000000,2497466.1428,11,314.1
306,0.00757000,0.000198,1.00000000,2504039.0504,11,313.3
307,0.00758000,0.000198,1.00000000,2510620.3252,11,317.8
308,0.00759000,0.000197,1.00000000,2517209.9671,11,319.2
309,0.00760000,0.000197,1.00000000,2523807.9759,11,322.1
310,0.00761000,0.000196,1.00000000,2530414.3242,11,321.4
311,0.00762000,0.000196,1.00000000,2537029.0175,11,317.9
312,0.00763000,0.000195,1.00000000,2543652.0745,11,315.4
313,0.00764000,0.000195,1.00000000,2550283.4976,11,317.8
314,0.00765000,0.000194,1.00000000,2556923.2868,11,317.3
315,0.00766000,0.000194,1.00000000,2563571.4419,11,314.2
316,0.00767000,0.000193,1.00000000,2570227.9626,11,312.5
317,0.00768000,0.000193,1.00000000,2576892.8486,11,317.8
318,0.00769000,0.000192,1.00000000,2583566.1207,11,315.9
319,0.00770000,0.000192,1.00000000,2590247.9124,11,317.0
320,0.00771000,0.000191,1.00000000,2596938.0687,11,317.6
321,0.00772000,0.000191,1.00000000,2603636.5897,11,316.4
322,0.00773000,0.000191,1.00000000,2610343.4751,11,314.6
323,0.00774000,0.000190,1.00000000,2617058.7247,11,315.1
324,0.00775000,0.000190,1.00000000,2623782.3383,11,312.1
325,0.00776000,0.000189,1.00000000,2630514.3161,11,322.9
326,0.00777000,0.000189,1.00000000,2637254.6575,11,321.0
327,0.00778000,0.000188,1.00000000,2644003.3680,11,316.3
328,0.00779000,0.000188,1.00000000,2650760.4656,11,316.9
329,0.00780000,0.000187,1.00000000,2657525.9461,11,321.1
330,0.00781000,0.000187,1.00000000,2664299.7905,11,318.5
331,0.00782000,0.000186,1.00000000,2671081.9977,11,312.4
332,0.00783000,0.000186,1.00000000,2677872.5676,11,311.3
333,0.00784000,0.000186,1.00000000,2684671.5001,11,316.7
334,0.00785000,0.000185,1.00000000,2691478.7950,11,316.1
335,0.00786000,0.000185,1.00000000,2698294.4520,11,316.4
336,0.00787000,0.000184,1.00000000,2705118.4710,11,314.1
337,0.00788000,0.000184,1.00000000,2711950.8518,11,316.9
338,0.00789000,0.000183,1.00000000,2718791.5943,11,315.2
339,0.00790000,0.000183,1.00000000,2725640.6984,12,322.2
340,0.00791000,0.000183,1.00000000,2732498.1624,12,322.1
341,0.00792000,0.000182,1.00000000,2739363.9890,12,324.7
342,0.00793000,0.000182,1.00000000,2746238.1768,12,324.1
343,0.00794000,0.000181,1.00000000,2753120.7256,12,321.7
344,0.00795000,0.000181,1.00000000,2760011.6353,12,320.9
345,0.00796000,0.000180,1.00000000,2766910.9057,12,324.6
346,0.00797000,0.000180,1.00000000,2773818.5366,12,318.8
347,0.00798000,0.000180,1.00000000,2780734.5281,12,322.6
348,0.00799000,0.000179,1.00000000,2787658.8798,10,282.4
349,0.00800000,0.000179,1.00000000,2794591.5964,12,324.5
