step,time,elastic,fracture,kinetic,external,total
140,2.625000000e-01,4.815812222e+01,1.064216647e+02,0.000000000e+00,0.000000000e+00,1.545797869e+02
141,2.750000000e-01,5.261856955e+01,1.066489294e+02,0.000000000e+00,0.000000000e+00,1.592674989e+02
142,2.875000000e-01,5.724201912e+01,1.069085092e+02,0.000000000e+00,0.000000000e+00,1.641505284e+02
143,3.000000000e-01,6.202185076e+01,1.072040286e+02,0.000000000e+00,0.000000000e+00,1.692258793e+02
144,3.125000000e-01,6.694999318e+01,1.075403842e+02,0.000000000e+00,0.000000000e+00,1.744903774e+02
145,3.250000000e-01,7.201996152e+01,1.079206711e+02,0.000000000e+00,0.000000000e+00,1.799406327e+02
146,3.375000000e-01,7.722413485e+01,1.083489056e+02,0.000000000e+00,0.000000000e+00,1.855730404e+02
147,3.500000000e-01,8.255172943e+01,1.088320728e+02,0.000000000e+00,0.000000000e+00,1.913838022e+02
148,3.625000000e-01,8.799516824e+01,1.093736894e+02,0.000000000e+00,0.000000000e+00,1.973688577e+02
149,3.750000000e-01,9.354064713e+01,1.099832236e+02,0.000000000e+00,0.000000000e+00,2.035238707e+02
150,3.875000000e-01,9.917589156e+01,1.106682601e+02,0.000000000e+00,0.000000000e+00,2.098441516e+02
151,4.000000000e-01,1.048803385e+02,1.114441876e+02,0.000000000e+00,0.000000000e+00,2.163245261e+02
152,4.125000000e-01,1.106117655e+02,1.123471352e+02,0.000000000e+00,0.000000000e+00,2.229589007e+02
153,4.250000000e-01,7.264569568e+01,1.384257744e+02,0.000000000e+00,0.000000000e+00,2.110714700e+02
154,4.375000000e-01,2.222949180e+01,1.736403362e+02,0.000000000e+00,0.000000000e+00,1.958698280e+02
155,4.500000000e-01,1.984433253e+01,1.772823459e+02,0.000000000e+00,0.000000000e+00,1.971266784e+02
156,4.625000000e-01,2.002476013e+01,1.782696289e+02,0.000000000e+00,0.000000000e+00,1.982943891e+02
157,4.750000000e-01,1.987643866e+01,1.795783676e+02,0.000000000e+00,0.000000000e+00,1.994548062e+02
158,4.875000000e-01,2.030640184e+01,1.802511979e+02,0.000000000e+00,0.000000000e+00,2.005575997e+02
159,5.000000000e-01,2.030407770e+01,1.813709194e+02,0.000000000e+00,0.000000000e+00,2.016749971e+02
160,5.125000000e-01,2.079962487e+01,1.819413864e+02,0.000000000e+00,0.000000000e+00,2.027410113e+02
161,5.250000000e-01,2.113106955e+01,1.826846319e+02,0.000000000e+00,0.000000000e+00,2.038157015e+02
