rho_inf,time,E_lo_over_initial,E_hi_over_initial
5.000000000000000000e-01,7.499999999999999722e-02,9.999997715706196999e-01,3.616988169831560562e-19
5.000000000000000000e-01,7.599999999999999811e-02,9.999997659302025665e-01,1.943271572990166354e-19
5.000000000000000000e-01,7.699999999999999900e-02,9.999997602394814500e-01,9.026484256443561009e-20
5.000000000000000000e-01,7.799999999999999989e-02,9.999997544993458609e-01,5.472725531229904966e-20
5.000000000000000000e-01,7.900000000000000078e-02,9.999997487106933036e-01,3.616429487818244673e-20
5.000000000000000000e-01,8.000000000000000167e-02,9.999997428744282768e-01,1.850474564853883281e-20
5.000000000000000000e-01,8.100000000000000255e-02,9.999997369914636058e-01,8.786345542123621854e-21
5.000000000000000000e-01,8.200000000000000344e-02,9.999997310627192215e-01,5.605404337705392039e-21
5.000000000000000000e-01,8.300000000000000433e-02,9.999997250891218270e-01,3.580863557234979357e-21
5.000000000000000000e-01,8.400000000000000522e-02,9.999997190716056750e-01,1.755733426461289258e-21
5.000000000000000000e-01,8.500000000000000611e-02,9.999997130111126786e-01,8.662324923776395615e-22
5.000000000000000000e-01,8.600000000000000699e-02,9.999997069085897472e-01,5.737182411613074670e-22
5.000000000000000000e-01,8.700000000000000788e-02,9.999997007649918945e-01,3.510367912805318534e-22
5.000000000000000000e-01,8.799999999999999489e-02,9.999996945812801297e-01,1.664971397648120383e-22
5.000000000000000000e-01,8.899999999999999578e-02,9.999996883584215679e-01,8.649220475392265802e-23
5.000000000000000000e-01,8.999999999999999667e-02,9.999996820973898748e-01,5.849857140893664626e-23
5.000000000000000000e-01,9.099999999999999756e-02,9.999996757991647112e-01,3.408057849619897849e-23
5.000000000000000000e-01,9.199999999999999845e-02,9.999996694647313999e-01,1.583633766656436885e-23
5.000000000000000000e-01,9.299999999999999933e-02,9.999996630950808152e-01,8.732689550878655590e-24
5.000000000000000000e-01,9.400000000000000022e-02,9.999996566912101592e-01,5.927481763206767384e-24
5.000000000000000000e-01,9.500000000000000111e-02,9.999996502541214083e-01,3.279732203473949526e-24
5.000000000000000000e-01,9.600000000000000200e-02,9.999996437848218678e-01,1.516236197853209548e-24
5.000000000000000000e-01,9.700000000000000289e-02,9.999996372843239500e-01,8.890733777509429613e-25
5.000000000000000000e-01,9.800000000000000377e-02,9.999996307536451745e-01,5.957660649865637705e-25
5.000000000000000000e-01,9.900000000000000466e-02,9.999996241938076125e-01,3.133300194308659429e-25
5.000000000000000000e-01,1.000000000000000056e-01,9.999996176058377761e-01,1.466005436184726106e-25
