element,centroid_x,centroid_y,E,Gc,history
159,0.611111111111111,0.3055555555555555,450.0,1.0,1.4399999999999995
160,0.7222222222222222,0.27777777777777773,1000.0,1.0,3.199999999999999
161,0.6944444444444443,0.3055555555555555,450.0,1.0,1.4399999999999995
162,0.8055555555555555,0.27777777777777773,1000.0,1.0,3.1999999999999966
163,0.7777777777777777,0.3055555555555555,1000.0,1.0,3.1999999999999966
164,0.8888888888888888,0.27777777777777773,1000.0,1.0,3.199999999999999
165,0.861111111111111,0.3055555555555555,1000.0,1.0,3.199999999999999
166,0.9722222222222222,0.27777777777777773,1000.0,1.0,3.1999999999999997
167,0.9444444444444443,0.3055555555555555,1000.0,1.0,3.1999999999999997
168,1.0555555555555554,0.27777777777777773,1000.0,1.0,3.1999999999999975
169,1.0277777777777777,0.3055555555555555,1000.0,1.0,3.1999999999999975
170,1.1388888888888888,0.27777777777777773,1000.0,1.0,3.1999999999999966
171,1.111111111111111,0.3055555555555555,1000.0,1.0,3.1999999999999966
172,1.222222222222222,0.27777777777777773,1000.0,1.0,3.1999999999999966
173,1.1944444444444444,0.3055555555555555,1000.0,1.0,3.1999999999999966
174,1.3055555555555554,0.27777777777777773,1000.0,0.35,3.1999999999999966
175,1.2777777777777777,0.3055555555555555,1000.0,0.35,3.1999999999999966
176,1.3888888888888886,0.27777777777777773,1000.0,0.35,3.1999999999999966
177,1.361111111111111,0.3055555555555555,1000.0,0.35,3.1999999999999966
178,1.472222222222222,0.27777777777777773,1000.0,1.0,3.1999999999999966
179,1.4444444444444444,0.3055555555555555,1000.0,1.0,3.1999999999999966
180,1.5555555555555554,0.27777777777777773,1000.0,1.0,3.1999999999999966
181,1.5277777777777777,0.3055555555555555,1000.0,1.0,3.1999999999999966
182,1.6388888888888886,0.27777777777777773,1000.0,1.0,3.199999999999997
183,1.611111111111111,0.3055555555555555,1000.0,1.0,3.199999999999997
184,1.722222222222222,0.27777777777777773,1000.0,1.0,3.1999999999999966
185,1.6944444444444444,0.3055555555555555,1000.0,1.0,3.1999999999999966
186,1.8055555555555554,0.27777777777777773,1000.0,1.0,3.1999999999999966
187,1.7777777777777777,0.3055555555555555,1000.0,1.0,3.1999999999999966
188,1.8888888888888886,0.27777777777777773,1000.0,1.0,3.1999999999999966
189,1.861111111111111,0.3055555555555555,1000.0,1.0,3.1999999999999966
190,1.972222222222222,0.27777777777777773,1000.0,1.0,3.1999999999999966
191,1.9444444444444444,0.3055555555555555,1000.0,1.0,3.1999999999999966
192,0.05555555555555555,0.3611111111111111,1000.0,1.0,3.200000000000005
193,0.027777777777777776,0.38888888888888884,1000.0,1.0,3.200000000000005
194,0.13888888888888887,0.3611111111111111,1000.0,1.0,3.200000000000005
195,0.1111111111111111,0.38888888888888884,1000.0,1.0,3.200000000000005
196,0.2222222222222222,0.3611111111111111,1000.0,1.0,3.2000000000000055
197,0.19444444444444442,0.38888888888888884,1000.0,1.0,3.2000000000000055
198,0.3055555555555555,0.3611111111111111,1000.0,1.0,3.2000000000000055
199,0.27777777777777773,0.38888888888888884,1000.0,1.0,3.2000000000000055
200,0.38888888888888884,0.3611111111111111,1000.0,1.0,3.200000000000005
201,0.3611111111111111,0.38888888888888884,1000.0,1.0,3.200000000000005
202,0.47222222222222215,0.3611111111111111,1000.0,1.0,3.200000000000005
203,0.4444444444444444,0.38888888888888884,1000.0,1.0,3.200000000000005
204,0.5555555555555555,0.3611111111111111,450.0,1.0,1.4400000000000024
205,0.5277777777777778,0.38888888888888884,450.0,1.0,1.4400000000000024
206,0.6388888888888888,0.3611111111111111,450.0,1.0,1.4400000000000024
207,0.611111111111111,0.38888888888888884,450.0,1.0,1.4400000000000024
208,0.7222222222222222,0.3611111111111111,450.0,1.0,1.4400000000000024
209,0.6944444444444443,0.38888888888888884,450.0,1.0,1.4400000000000024
210,0.8055555555555555,0.3611111111111111,1000.0,1.0,3.200000000000005
211,0.7777777777777777,0.38888888888888884,450.0,1.0,1.4400000000000024
212,0.8888888888888888,0.3611111111111111,1000.0,1.0,3.2000000000000055
